"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Yo-kai Watch","1785","7680","4","11","132","4.436974"
"2","Sword Art Online: Fatal Bullet","1080","5760","5","13","128","7.111111"
"3","Yu-Gi-Oh! Duel Links","990","4830","4","12","141","8.545454"
"4","Phoenix Wright: Ace Attorney Trilogy HD","795","2970","3","7","67","5.056603"
"5","Unlisted on Twitch","510","2100","3","7","66","7.764705"
"6","Art","405","1290","2","5","25","3.703703"
"7","Persona 3 FES","390","1125","1","5","29","4.461538"
"8","Fire Emblem: Three Houses","360","1695","4","7","27","4.5"
"9","Tales of Vesperia","120","270","2","3","4","2"
"10","Zanki Zero: Last Beginning","120","345","2","4","6","3"
"11","Super Smash Bros. Ultimate","120","450","3","7","21","10.5"
"12","Sekiro: Shadows Die Twice","90","405","4","7","2","1.333333"
"13","Tales of the Abyss","90","270","3","6","16","10.666666"
"14","Stella Glow","60","150","2","4","6","6"
