"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Rocket League","930","1860","1","7","69","4.451612"
"2","Sea of Thieves","330","525","1","5","24","4.363636"
"3","PAYDAY 2","255","870","3","5","24","5.647058"
"4","Counter-Strike: Global Offensive","240","345","1","4","20","5"
"5","Rise of the Tomb Raider","135","120","0","2","13","5.777777"
"6","Just Chatting","135","255","3","5","24","10.666666"
"7","Minecraft","120","105","1","2","15","7.5"
"8","Apex Legends","90","195","2","3","9","6"
"9","Clustertruck","90","150","1","5","13","8.666666"
"10","Pinturillo 2","45","300","6","8","19","25.333333"
"11","Teamfight Tactics","30","60","2","2","0","0"
