"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","My Summer Car","750","2265","2","6","158","12.64"
"2","Just Chatting","420","1680","2","7","92","13.142857"
"3","Warframe","225","585","3","5","30","8"
"4","Overwatch","195","480","2","4","40","12.307692"
"5","Minecraft","135","630","3","7","31","13.777777"
"6","Grand Theft Auto V","120","375","3","8","17","8.5"
"7","Scrap Mechanic","90","315","3","6","12","8"
"8","Zusi 3 Hobby","60","75","1","2","8","8"
"9","Battlefield V","45","255","5","6","18","24"
"10","Tom Clancy's Rainbow Six Siege","30","90","3","3","0","0"
"11","Unlisted on Twitch","15","30","2","2","0","0"
