"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Escape from Tarkov","975","3735","3","7","95","5.846153"
"2","Apex Legends","855","3555","3","9","93","6.526315"
"3","Counter-Strike: Global Offensive","795","3900","4","8","78","5.886792"
