"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Paladins","2595","10920","3","11","347","8.023121"
"2","Borderlands 2","945","2325","2","6","103","6.539682"
"3","Minecraft","465","1065","1","5","68","8.774193"
"4","Beyond: Two Souls","465","1305","2","7","65","8.387096"
"5","ROBLOX","330","1575","4","9","75","13.636363"
"6","SMITE","285","750","2","6","49","10.315789"
"7","Just Chatting","240","960","3","6","19","4.75"
"8","Dota Underlords","180","645","3","9","21","7"
"9","Overwatch","165","255","1","3","22","8"
"10","Outlast","120","405","3","6","9","4.5"
"11","Crash Bandicoot N. Sane Trilogy","90","390","4","5","4","2.666666"
"12","Batman: Arkham City","90","225","2","3","5","3.333333"
"13","Darksiders II","90","225","2","4","7","4.666666"
"14","Brawlhalla","75","135","1","3","9","7.2"
"15","League of Legends","45","90","2","3","6","8"
"16","Rise of the Tomb Raider","15","30","2","2","0","0"
"17","Injustice: Gods Among Us","15","30","2","2","0","0"
