"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","MapleStory","4530","29415","6","16","488","6.463576"
"2","Monster Hunter: World","1035","8205","7","15","135","7.826086"
"3","Warframe","720","4440","5","11","81","6.75"
"4","Tom Clancy's Rainbow Six Siege","360","1965","6","12","41","6.833333"
"5","Teamfight Tactics","150","1050","7","9","14","5.6"
"6","Dead by Daylight","120","795","6","8","17","8.5"
"7","Graveyard Keeper","60","420","7","11","8","8"
"8","A Dance of Fire and Ice","45","240","5","6","10","13.333333"
"9","TAPSONIC BOLD","30","75","2","3","0","0"
"10","Muse Dash","15","180","12","12","1","4"
