"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","510","6120","10","20","225","26.470588"
"2","Apex Legends","465","3000","6","14","141","18.193548"
"3","Observer","450","3480","7","13","110","14.666666"
"4","This War of Mine","360","2775","5","12","103","17.166666"
"5","Friday the 13th: The Game","360","3060","7","13","98","16.333333"
"6","PUBG: BATTLEGROUNDS","360","2805","7","15","67","11.166666"
"7","Tom Clancy's Rainbow Six Siege","315","1590","5","8","55","10.47619"
"8","Raft","225","1275","5","8","54","14.4"
"9","Teamfight Tactics","210","1620","7","12","39","11.142857"
"10","Stories Untold","195","1095","5","9","25","7.692307"
"11","Monster Hunter: World","165","1380","7","15","84","30.545454"
"12","Just Chatting","165","1125","7","11","76","27.636363"
"13","HALF DEAD 2","165","1050","6","9","38","13.818181"
"14","Deathgarden: BLOODHARVEST","120","900","7","10","23","11.5"
"15","Border Officer","90","630","7","9","20","13.333333"
"16","PAYDAY 2","90","615","6","10","31","20.666666"
"17","God Eater Resurrection","60","465","7","12","21","21"
"18","Human: Fall Flat","45","150","3","5","18","24"
"19","Kabounce","15","120","8","8","9","36"
