"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Street Fighter V","7380","94905","11","59","2424","19.707317"
"2","SSX 3","330","1140","3","10","35","6.363636"
"3","Overwatch","45","270","6","8","3","4"
"4","Just Chatting","15","60","4","4","8","32"
