"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","3180","101160","28","75","2350","44.339622"
"2","The Jackbox Party Pack 5","210","7485","33","46","138","39.428571"
"3","Pummel Party","165","3495","13","30","88","32"
"4","Unlisted on Twitch","165","3225","19","29","70","25.454545"
"5","Getting Over It with Bennett Foddy","105","3705","35","38","38","21.714285"
"6","Drawful 2","75","1425","19","22","37","29.6"
"7","UNO","60","1935","32","39","41","41"
"8","League of Legends","60","2550","42","47","13","13"
"9","Golf With Your Friends","45","1575","35","37","48","64"
"10","Jackbox Party Packs","45","1290","28","31","31","41.333333"
"11","The Jackbox Party Pack 4","15","435","29","29","12","48"
