"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","480","192360","399","1543","14110","1763.75"
"2","Unlisted on Twitch","300","366750","1247","1665","13637","2727.4"
"3","Stardew Valley","300","16545","55","80","3668","733.6"
"4","The Walking Dead: A New Frontier","180","484965","2691","2878","23102","7700.666666"
"5","Call of Duty 2","105","6300","60","72","1369","782.285714"
"6","Dead by Daylight","90","11925","132","158","2297","1531.333333"
"7","Just Chatting","75","212145","2937","3247","14739","11791.2"
"8","Cooking Simulator","60","134490","2241","2300","6795","6795"
"9","PUBG: BATTLEGROUNDS","30","2415","80","85","383","766"
"10","My Friend Pedro","30","19380","646","679","3323","6646"
