"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Beat Saber","840","1935","1","7","45","3.214285"
"2","PUBG: BATTLEGROUNDS","795","1920","1","6","31","2.339622"
"3","HITMAN 2","645","2700","3","12","71","6.604651"
"4","Assassin's Creed Odyssey","225","135","0","1","0","0"
"5","Counter-Strike: Global Offensive","210","360","1","3","3","0.857142"
"6","Grand Theft Auto V","180","540","3","3","1","0.333333"
"7","The Witness","180","120","0","2","10","3.333333"
"8","Wallace and Gromit Episode 2: The Last Resort","165","495","2","5","6","2.181818"
"9","Prey","45","0","0","0","0","0"
"10","Star Wars: Battlefront II","45","0","0","0","1","1.333333"
"11","DOOM","45","120","2","3","1","1.333333"
"12","Resident Evil 2","30","90","3","3","0","0"
"13","Electronauts","30","105","3","5","1","2"
"14","Dying Light","30","30","1","1","1","2"
"15","Dark Souls","15","45","3","3","1","4"
