"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Heroes & Generals","4260","37620","7","24","928","13.070422"
"2","Crossout","2115","17955","8","22","312","8.851063"
"3","Dragon Ball FighterZ","735","3225","3","9","63","5.142857"
"4","Hell Let Loose","690","3405","3","10","120","10.434782"
"5","Apex Legends","390","1710","3","10","62","9.538461"
"6","Splitgate","330","1095","3","10","31","5.636363"
"7","Minecraft","105","240","2","4","2","1.142857"
"8","Talk Shows & Podcasts","75","90","1","2","8","6.4"
"9","PlanetSide 2","60","285","4","8","10","10"
"10","SCP: Secret Laboratory","30","165","5","6","4","8"
