"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:20","https://sullygnome.com/channel/beetleatbay/stream/35113879216","205","6560","32","38","6","1","184","52","Makers &amp; Crafting"
"2","Tuesday 30th July 2019 18:00","https://sullygnome.com/channel/beetleatbay/stream/35100433936","270","7290","27","41","5","1","174","36","Makers &amp; Crafting"
"3","Thursday 25th July 2019 17:58","https://sullygnome.com/channel/beetleatbay/stream/35040197200","377","10556","28","43","8","1","227","36","Makers &amp; Crafting"
"4","Tuesday 23rd July 2019 17:58","https://sullygnome.com/channel/beetleatbay/stream/35015783392","362","13756","38","64","15","2","330","52","Makers &amp; Crafting"
"5","Monday 22nd July 2019 18:54","https://sullygnome.com/channel/beetleatbay/stream/35004014464","306","9180","30","41","5","0","238","45","Makers &amp; Crafting"
"6","Thursday 18th July 2019 18:55","https://sullygnome.com/channel/beetleatbay/stream/34953693376","305","8235","27","42","9","1","184","35","Makers &amp; Crafting"
"7","Tuesday 16th July 2019 18:17","https://sullygnome.com/channel/beetleatbay/stream/34928080720","238","5712","24","35","6","1","146","36","Makers &amp; Crafting"
"8","Monday 15th July 2019 17:57","https://sullygnome.com/channel/beetleatbay/stream/34915360592","303","9393","31","44","3","0","253","48","Makers &amp; Crafting"
"9","Wednesday 10th July 2019 18:50","https://sullygnome.com/channel/beetleatbay/stream/34853902976","220","5940","27","37","1","0","123","32","Makers &amp; Crafting"
"10","Monday 8th July 2019 18:44","https://sullygnome.com/channel/beetleatbay/stream/34828806176","316","12956","41","65","13","2","273","52","Just Chatting,Makers &amp; Crafting"
