"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","League of Legends","3795","17205","4","11","720","11.383399"
"2","Layers of Fear 2","345","1605","3","10","65","11.304347"
"3","Art","300","1680","5","10","55","11"
"4","Golf With Your Friends","195","1800","9","11","37","11.384615"
"5","Earthfall","195","1260","6","12","32","9.846153"
"6","My Friend Pedro","180","780","3","8","32","10.666666"
"7","skribbl.io","165","2655","16","23","46","16.727272"
"8","Just Chatting","150","750","5","11","45","18"
"9","Twitch Sings","105","855","8","12","14","8"
"10","Unlisted on Twitch","90","450","5","9","18","12"
"11","Slots","90","375","4","6","17","11.333333"
"12","Food & Drink","75","810","10","17","45","36"
