"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","World of Tanks","3405","183570","52","124","3438","60.581497"
"2","Black Desert","135","6795","50","67","179","79.555555"
"3","Hearts of Iron IV","90","2370","26","54","105","70"
