"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Chase","2100","206595","94","218","4106","117.314285"
"2","Dota Underlords","630","4635","5","25","501","47.714285"
"3","Retro","600","51165","88","217","818","81.8"
"4","Horizon Zero Dawn","435","3075","6","18","205","28.275862"
"5","Resident Evil 4","240","1485","5","8","59","14.75"
"6","League of Legends","240","1050","4","8","62","15.5"
"7","Just Chatting","225","22035","99","105","356","94.933333"
"8","Streets of Rogue","120","855","7","15","33","16.5"
"9","Dragon Ball FighterZ","60","210","3","5","9","9"
"10","Need for Speed: Most Wanted","30","315","10","12","0","0"
