"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","League of Legends","1350","4815","2","9","190","8.444444"
"2","Fortnite","1335","4530","3","7","138","6.202247"
"3","Path of Exile","1305","4365","2","6","142","6.528735"
"4","Teamfight Tactics","1230","3405","2","7","107","5.219512"
"5","Rocket League","705","2010","2","7","82","6.978723"
"6","Just Chatting","225","780","3","9","25","6.666666"
"7","Torchlight","210","435","2","4","30","8.571428"
"8","Minecraft","210","1125","5","8","37","10.571428"
"9","Battalion 1944","195","735","3","6","23","7.076923"
"10","Unlisted on Twitch","90","300","3","4","17","11.333333"
"11","DARK SOULS III","75","135","1","3","10","8"
"12","Counter-Strike: Global Offensive","75","165","1","3","11","8.8"
"13","Overwatch","60","195","3","4","15","15"
"14","Heroes of the Storm","15","30","2","2","0","0"
