"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 27th July 2019 02:28","https://sullygnome.com/channel/deere/stream/35057497264","392","29008","74","159","8","1","747","119","Beauty &amp; Body Art,Hide Or Die"
"2","Thursday 25th July 2019 01:08","https://sullygnome.com/channel/deere/stream/35032812080","427","34160","80","121","24","3","724","103","Beauty &amp; Body Art,Animal Crossing: New Leaf,Friday the 13th: The Game"
"3","Tuesday 23rd July 2019 02:05","https://sullygnome.com/channel/deere/stream/35008805552","400","34400","86","131","31","4","728","107","Beauty &amp; Body Art,Animal Crossing: New Leaf,Friday the 13th: The Game"
"4","Saturday 20th July 2019 02:43","https://sullygnome.com/channel/deere/stream/34971234528","257","18247","71","120","10","2","478","106","Beauty &amp; Body Art,Animal Crossing: New Leaf"
"5","Thursday 18th July 2019 01:04","https://sullygnome.com/channel/deere/stream/34945354768","521","35428","68","128","19","2","769","85","Beauty &amp; Body Art,Bendy and the Ink Machine"
"6","Monday 15th July 2019 23:56","https://sullygnome.com/channel/deere/stream/34919420592","484","46948","97","240","61","7","1282","155","Beauty &amp; Body Art,Lorelai,Dead by Daylight,Friday the 13th: The Game"
"7","Thursday 11th July 2019 01:39","https://sullygnome.com/channel/deere/stream/34858494128","441","31311","71","159","16","2","640","85","Beauty &amp; Body Art,Lorelai"
"8","Tuesday 9th July 2019 01:27","https://sullygnome.com/channel/deere/stream/34833285504","393","31047","79","105","22","3","703","108","Beauty &amp; Body Art,Unforgiving - A Northern Hymn"
"9","Saturday 6th July 2019 01:36","https://sullygnome.com/channel/deere/stream/34795863664","444","41292","93","160","17","2","964","128","Beauty &amp; Body Art,The Jackbox Party Pack,Use Your Words"
"10","Thursday 4th July 2019 01:27","https://sullygnome.com/channel/deere/stream/34771918896","423","28764","68","101","8","1","732","100","Beauty &amp; Body Art,The MISSING: J.J. Macfield and the Island of Memories"
