"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Rocket League","810","375","0","4","54","4"
"2","Unlisted on Twitch","300","300","0","3","18","3.6"
"3","Dead by Daylight","150","15","0","1","4","1.6"
