"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FIFA 19","2985","15375","4","11","383","7.698492"
"2","Apex Legends","2070","10035","4","12","270","7.826086"
"3","Madden NFL 20","885","6480","6","19","146","9.898305"
"4","F1 2019","225","765","4","9","38","10.133333"
"5","Just Chatting","75","360","4","9","24","19.2"
