"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","6615","34050","4","17","473","4.290249"
"2","Farming Simulator 19","1035","5775","4","13","76","4.405797"
"3","SCUM","165","1260","7","16","11","4"
"4","The Blackout Club","135","900","6","8","22","9.777777"
"5","7 Days to Die","60","75","1","2","4","4"
