"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","6120","167340","28","98","9010","88.333333"
"2","Just Chatting","375","6495","14","34","787","125.92"
"3","Resident Evil 5","360","4110","14","18","240","40"
"4","Overwatch","285","5265","19","43","438","92.210526"
"5","Outlast","255","4065","15","25","267","62.823529"
"6","Wolfenstein: Youngblood","165","1095","6","14","88","32"
"7","Unlisted on Twitch","120","3315","27","38","311","155.5"
"8","Apex Legends","75","1200","16","18","82","65.6"
"9","Resident Evil 2","30","435","14","17","28","56"
"10","World of Warcraft","15","360","24","24","20","80"
"11","Ring of Elysium","15","285","19","19","19","76"
