"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Minecraft","1770","9150","4","15","254","8.610169"
"2","Brawlhalla","1575","11355","6","14","416","15.847619"
"3","Grand Theft Auto: San Andreas","1305","6360","4","10","175","8.045977"
"4","Grand Theft Auto IV","330","1755","4","13","52","9.454545"
"5","60 Seconds!","270","1125","4","6","27","6"
"6","Just Chatting","225","1335","5","9","39","10.4"
"7","Fortnite","195","840","4","9","15","4.615384"
"8","Left 4 Dead 2","165","675","3","7","24","8.727272"
"9","Counter-Strike: Global Offensive","90","420","4","7","12","8"
"10","Please, Don't Touch Anything 3D","60","135","2","5","15","15"
"11","Move or Die","45","90","2","2","3","4"
"12","Papers, Please","30","75","2","3","0","0"
