"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:09","https://sullygnome.com/channel/firstcrimson/stream/35113755360","276","9660","35","46","8","1","211","46","Science &amp; Technology"
"2","Tuesday 30th July 2019 18:20","https://sullygnome.com/channel/firstcrimson/stream/35100698480","325","11375","35","46","6","1","215","39","Science &amp; Technology"
"3","Monday 29th July 2019 18:07","https://sullygnome.com/channel/firstcrimson/stream/35087886816","278","10564","38","54","8","1","221","46","Science &amp; Technology"
"4","Friday 26th July 2019 18:07","https://sullygnome.com/channel/firstcrimson/stream/35052332336","308","8932","29","37","2","0","228","43","Science &amp; Technology"
"5","Thursday 25th July 2019 23:00","https://sullygnome.com/channel/firstcrimson/stream/35043383712","0","0","38","38","0","0","0","0","Science &amp; Technology"
"6","Thursday 25th July 2019 18:12","https://sullygnome.com/channel/firstcrimson/stream/35040371760","258","10320","40","74","23","5","339","75","Science &amp; Technology"
"7","Wednesday 24th July 2019 18:31","https://sullygnome.com/channel/firstcrimson/stream/35028402656","269","7801","29","39","4","0","251","52","Science &amp; Technology"
"8","Wednesday 24th July 2019 18:00","https://sullygnome.com/channel/firstcrimson/stream/35028032400","0","0","16","25","1","4","33","132","Science &amp; Technology"
"9","Tuesday 23rd July 2019 18:11","https://sullygnome.com/channel/firstcrimson/stream/35015945248","259","8288","32","44","6","1","199","44","Science &amp; Technology"
"10","Monday 22nd July 2019 17:56","https://sullygnome.com/channel/firstcrimson/stream/35003308000","289","8959","31","45","6","1","193","38","Science &amp; Technology"
"11","Sunday 21st July 2019 00:40","https://sullygnome.com/channel/firstcrimson/stream/34983652656","185","2590","14","21","4","1","79","24","Science &amp; Technology"
"12","Friday 19th July 2019 19:59","https://sullygnome.com/channel/firstcrimson/stream/34965664160","241","7230","30","43","10","1","254","42","Science &amp; Technology"
"13","Thursday 18th July 2019 18:05","https://sullygnome.com/channel/firstcrimson/stream/34953094240","265","9010","34","45","7","1","199","44","Science &amp; Technology"
"14","Wednesday 17th July 2019 18:01","https://sullygnome.com/channel/firstcrimson/stream/34940523616","284","11076","39","54","0","0","241","50","Science &amp; Technology"
"15","Tuesday 16th July 2019 18:16","https://sullygnome.com/channel/firstcrimson/stream/34928071104","329","14147","43","61","6","1","261","47","Science &amp; Technology"
"16","Monday 15th July 2019 18:07","https://sullygnome.com/channel/firstcrimson/stream/34915493504","338","15548","46","61","10","1","348","60","Science &amp; Technology"
"17","Friday 12th July 2019 18:33","https://sullygnome.com/channel/firstcrimson/stream/34878624224","432","16416","38","45","19","2","343","49","Science &amp; Technology"
"18","Thursday 11th July 2019 18:00","https://sullygnome.com/channel/firstcrimson/stream/34865758864","300","18000","60","101","36","7","482","101","Science &amp; Technology"
"19","Wednesday 10th July 2019 18:01","https://sullygnome.com/channel/firstcrimson/stream/34853306240","299","10465","35","50","26","5","293","58","Science &amp; Technology"
"20","Tuesday 9th July 2019 18:09","https://sullygnome.com/channel/firstcrimson/stream/34840870464","411","14796","36","50","8","1","261","37","Science &amp; Technology"
"21","Monday 8th July 2019 18:01","https://sullygnome.com/channel/firstcrimson/stream/34828277200","329","12173","37","81","22","3","340","59","Science &amp; Technology"
"22","Friday 5th July 2019 17:58","https://sullygnome.com/channel/firstcrimson/stream/34790809392","332","11620","35","46","17","2","228","39","Science &amp; Technology"
"23","Thursday 4th July 2019 18:05","https://sullygnome.com/channel/firstcrimson/stream/34779484112","295","10030","34","53","10","2","226","45","Science &amp; Technology"
"24","Wednesday 3rd July 2019 18:10","https://sullygnome.com/channel/firstcrimson/stream/34767092192","455","14560","32","52","15","1","322","41","Science &amp; Technology"
"25","Tuesday 2nd July 2019 18:28","https://sullygnome.com/channel/firstcrimson/stream/34754683200","377","7917","21","30","4","0","183","28","Science &amp; Technology"
"26","Monday 1st July 2019 18:06","https://sullygnome.com/channel/firstcrimson/stream/34742070800","414","9936","24","54","5","0","253","36","Science &amp; Technology"
