"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FINAL FANTASY XIV ONLINE","3360","24495","7","29","606","10.821428"
"2","Super Mario Maker 2","315","2160","6","11","30","5.714285"
"3","Mario Kart 8","120","855","7","8","15","7.5"
"4","Super Smash Bros. Ultimate","120","900","7","9","28","14"
