"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Kartrider","6765","115125","16","41","4423","39.228381"
"2","MapleStory","240","2220","8","16","96","24"
"3","Outlast II","180","1425","7","12","56","18.666666"
"4","Minecraft","165","1800","10","14","69","25.090909"
"5","Overwatch","165","1365","8","11","68","24.727272"
"6","Games + Demos","75","870","11","13","60","48"
"7","KKuTu Korea","45","495","11","13","14","18.666666"
"8","Just Chatting","45","330","6","11","60","80"
"9","surviv.io","30","540","18","20","32","64"
"10","Agar.io","15","285","19","19","46","184"
