"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 16:52","https://sullygnome.com/channel/quiltoni/stream/35087011312","218","7630","35","43","1","0","129","34","Art"
"2","Sunday 28th July 2019 12:58","https://sullygnome.com/channel/quiltoni/stream/35073324288","182","6188","34","51","1","0","85","28","Makers &amp; Crafting"
"3","Friday 26th July 2019 16:56","https://sullygnome.com/channel/quiltoni/stream/35051610224","199","7960","40","61","3","0","114","32","Unlisted on Twitch,Makers &amp; Crafting"
"4","Thursday 25th July 2019 20:54","https://sullygnome.com/channel/quiltoni/stream/35042212208","171","7866","46","60","7","2","156","52","Makers &amp; Crafting"
"5","Monday 22nd July 2019 16:55","https://sullygnome.com/channel/quiltoni/stream/35002627568","215","7310","34","43","3","0","150","40","Makers &amp; Crafting"
"6","Sunday 21st July 2019 12:55","https://sullygnome.com/channel/quiltoni/stream/34988706912","215","9460","44","57","7","2","151","43","Makers &amp; Crafting"
"7","Thursday 18th July 2019 20:55","https://sullygnome.com/channel/quiltoni/stream/34955118240","185","8880","48","62","6","1","167","51","Makers &amp; Crafting"
"8","Monday 15th July 2019 18:45","https://sullygnome.com/channel/quiltoni/stream/34915953936","105","3780","36","42","0","0","110","62","Makers &amp; Crafting"
"9","Monday 15th July 2019 16:55","https://sullygnome.com/channel/quiltoni/stream/34914650816","95","2375","25","43","4","2","86","49","Makers &amp; Crafting"
"10","Sunday 14th July 2019 12:55","https://sullygnome.com/channel/quiltoni/stream/34900466784","185","6475","35","62","4","1","199","61","Makers &amp; Crafting"
"11","Friday 12th July 2019 16:55","https://sullygnome.com/channel/quiltoni/stream/34877503056","185","5550","30","42","1","0","101","31","Makers &amp; Crafting"
"12","Thursday 11th July 2019 20:51","https://sullygnome.com/channel/quiltoni/stream/34867816016","174","6438","37","44","3","1","127","42","Makers &amp; Crafting"
"13","Monday 8th July 2019 16:50","https://sullygnome.com/channel/quiltoni/stream/34827459872","190","7410","39","47","2","0","124","41","Makers &amp; Crafting"
"14","Sunday 7th July 2019 12:54","https://sullygnome.com/channel/quiltoni/stream/34813204624","156","5460","35","68","0","0","139","50","Makers &amp; Crafting"
"15","Friday 5th July 2019 16:54","https://sullygnome.com/channel/quiltoni/stream/34790105936","186","8928","48","66","1","0","159","48","Makers &amp; Crafting"
"16","Monday 1st July 2019 16:53","https://sullygnome.com/channel/quiltoni/stream/34741232800","202","8686","43","59","3","0","196","56","Makers &amp; Crafting"
