"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Apex Legends","7200","62475","8","15","886","7.383333"
"2","SCUM","2085","17460","8","15","304","8.748201"
"3","Fortnite","870","5940","6","11","151","10.413793"
"4","Rust","450","2310","5","7","49","6.533333"
"5","ARK: Survival Evolved","375","1260","2","5","38","6.08"
"6","Squad","225","930","4","5","21","5.6"
"7","Just Chatting","165","1320","7","13","16","5.818181"
"8","Hunt: Showdown","120","1440","12","13","11","5.5"
"9","PUBG: BATTLEGROUNDS","105","990","9","11","8","4.571428"
"10","Dead by Daylight","45","345","7","9","7","9.333333"
