"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Tom Clancy's Rainbow Six Siege","2100","16770","7","14","454","12.971428"
"2","Teamfight Tactics","1335","8865","5","12","479","21.528089"
"3","Monster Hunter: World","1230","9375","6","13","283","13.804878"
"4","Black Desert","735","6105","7","13","230","18.77551"
"5","Minecraft","705","5550","7","12","83","7.063829"
"6","League of Legends","690","4155","5","11","98","8.521739"
"7","Darkest Dungeon","525","3750","6","12","100","11.428571"
"8","Overcooked! 2","270","2190","8","13","35","7.777777"
"9","Frostpunk","210","1995","9","11","103","29.428571"
"10","StarCraft II","195","1605","8","12","23","7.076923"
"11","Puyo Puyo Tetris","60","540","9","13","15","15"
"12","Enter the Gungeon","15","90","6","6","2","8"
