"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","1410","5115","4","47","111","4.723404"
"2","Ring of Elysium","300","6030","12","34","109","21.8"
"3","Counter-Strike: Global Offensive","285","465","1","4","35","7.368421"
"4","osu!","270","3045","11","25","61","13.555555"
"5","Alien: Isolation","225","855","3","6","26","6.933333"
"6","Minecraft","90","390","10","19","9","6"
"7","Just Chatting","90","225","2","3","5","3.333333"
"8","League of Legends","75","870","14","31","5","4"
"9","Team Fortress 2","60","120","1","3","7","7"
"10","Golf It!","60","1815","30","36","15","15"
"11","Euro Truck Simulator 2","60","240","3","6","9","9"
"12","Tom Clancy's Rainbow Six Siege","45","690","12","22","15","20"
"13","Spyfall","15","60","4","4","0","0"
"14","Art","15","375","25","25","1","4"
"15","PAYDAY 2","15","375","25","25","4","16"
"16","Outlast","15","45","3","3","0","0"
