"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Sid Meier's Civilization V: Brave New World","1140","10305","8","13","59","3.105263"
"2","SOMA","405","3645","9","11","23","3.407407"
"3","Darkest Dungeon","315","2340","6","12","20","3.809523"
"4","Borderlands","285","2130","7","9","16","3.368421"
"5","Just Chatting","270","2115","7","11","25","5.555555"
"6","Dark Souls","225","1455","6","9","21","5.6"
"7","The Witcher","210","1875","8","13","15","4.285714"
"8","Minecraft","180","2010","11","15","11","3.666666"
"9","skribbl.io","150","1350","9","10","11","4.4"
"10","Dead by Daylight","120","1170","9","11","7","3.5"
"11","ISLANDERS","105","705","6","8","2","1.142857"
"12","This Is the Police","90","795","8","10","1","0.666666"
