"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Elder Scrolls IV: Oblivion","2970","12960","3","10","140","2.828282"
"2","Dead by Daylight","1530","5520","3","6","44","1.72549"
"3","Ghost of a Tale","1065","4710","3","7","32","1.802816"
"4","Overlord II","810","2940","3","6","24","1.777777"
"5","Hellblade: Senua's Sacrifice","375","1410","3","7","10","1.6"
"6","Clue/Cluedo: The Classic Mystery Game","315","1350","4","7","14","2.666666"
"7","The Vanishing of Ethan Carter","255","1155","4","7","17","4"
"8","GRIS","150","405","2","4","4","1.6"
"9","Just Chatting","75","300","4","5","2","1.6"
"10","Magic: The Gathering","30","120","4","4","0","0"
