"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","World of Warcraft","915","25065","26","40","1030","67.540983"
"2","Just Chatting","690","17040","24","40","1264","109.913043"
"3","Teamfight Tactics","690","17460","25","38","593","51.565217"
"4","Fire Emblem: Three Houses","555","15225","26","41","643","69.513513"
"5","The Sinking City","465","9540","20","38","542","69.935483"
"6","They Are Billions","375","11895","31","47","554","88.64"
"7","The Sims 4","255","4605","17","25","237","55.764705"
"8","FAR: Lone Sails","180","4365","24","28","134","44.666666"
"9","Oxygen Not Included","165","6225","37","58","203","73.818181"
"10","The Witness","120","2625","21","27","97","48.5"
"11","Raft","105","3480","33","47","305","174.285714"
