"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","World of Warcraft","270","285","1","2","0","0"
"2","Car Mechanic Simulator 2018","105","195","1","3","7","4"
"3","The Crew","90","180","2","3","5","3.333333"
