"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Counter-Strike: Global Offensive","2955","6990","2","9","340","6.903553"
"2","Grand Theft Auto V","660","870","1","3","29","2.636363"
"3","Rocket League","360","1230","2","10","43","7.166666"
"4","League of Legends","165","315","1","5","10","3.636363"
"5","Dead by Daylight","150","495","3","5","16","6.4"
"6","Business Tour","120","240","1","3","10","5"
"7","Fortnite","120","180","1","2","9","4.5"
"8","HALF DEAD 2","120","315","2","5","9","4.5"
"9","Overwatch","60","90","1","2","2","2"
"10","Deathgarden: BLOODHARVEST","45","75","1","2","4","5.333333"
"11","Apex Legends","30","60","2","3","5","10"
"12","VRChat","15","45","3","3","2","8"
