"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","World of Warcraft","6720","45810","6","18","1962","17.517857"
"2","Tom Clancy's Rainbow Six Siege","1065","8205","6","20","457","25.746478"
"3","Tom Clancy's Ghost Recon: Wildlands","120","675","5","9","21","10.5"
"4","Just Chatting","15","60","4","4","0","0"
