"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fire Emblem: Three Houses","1485","8160","4","10","85","3.434343"
"2","The Legend of Zelda: Twilight Princess HD","825","6165","7","12","120","8.727272"
"3","Hyrule Warriors","720","3750","4","11","87","7.25"
"4","Super Smash Bros. Ultimate","630","5715","8","14","85","8.095238"
"5","Pokémon Ultra Sun/Ultra Moon","390","3435","8","14","104","16"
"6","Fire Emblem Warriors","285","1140","3","7","28","5.894736"
"7","The Elder Scrolls Online","240","1395","5","7","20","5"
"8","Just Chatting","195","1065","6","10","19","5.846153"
"9","Borderlands 2","135","600","4","6","10","4.444444"
"10","Titanfall 2","60","420","7","8","3","3"
"11","Dragon Quest Builders 2","45","270","6","6","8","10.666666"
"12","The Elder Scrolls V: Skyrim","30","180","6","7","0","0"
"13","Fire Emblem Heroes","15","105","7","7","1","4"
"14","Super Mario Maker 2","15","45","3","3","1","4"
