"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Elsword","990","3330","2","8","159","9.636363"
"2","CreativeDestruction","720","4410","5","15","252","21"
"3","League of Legends","555","1845","3","6","56","6.054054"
"4","Cyber Hunter","465","2265","5","9","112","14.451612"
"5","PUBG: BATTLEGROUNDS","435","2265","4","11","82","11.310344"
"6","Just Chatting","345","2055","5","11","94","16.347826"
"7","PUBG Mobile","270","1230","4","9","30","6.666666"
"8","Super Bomberman 4","90","360","4","4","7","4.666666"
"9","Metal Slug 3","90","375","4","6","7","4.666666"
"10","Teamfight Tactics","75","210","2","3","4","3.2"
"11","Minecraft","75","210","2","4","14","11.2"
"12","Counter-Strike: Global Offensive","75","480","6","8","9","7.2"
"13","DmC: Devil May Cry","30","120","4","4","2","4"
"14","osu!","15","105","7","7","4","16"
