"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 15:15","https://sullygnome.com/channel/kraygaterim/stream/35111827376","195","195","1","3","1","0","12","3","Dragalia Lost"
"2","Wednesday 31st July 2019 06:00","https://sullygnome.com/channel/kraygaterim/stream/35108262640","135","0","0","2","0","0","5","2","Dragalia Lost"
"3","Wednesday 24th July 2019 12:02","https://sullygnome.com/channel/kraygaterim/stream/35024926304","118","118","1","5","0","0","10","4","Dragalia Lost"
"4","Tuesday 23rd July 2019 15:00","https://sullygnome.com/channel/kraygaterim/stream/35013899840","90","90","1","1","0","0","2","1","Dragalia Lost"
"5","Tuesday 16th July 2019 13:30","https://sullygnome.com/channel/kraygaterim/stream/34925262592","90","90","1","4","0","0","5","2","Dragalia Lost,Puzzle &amp; Dragons"
"6","Monday 15th July 2019 05:30","https://sullygnome.com/channel/kraygaterim/stream/34910166896","105","315","3","6","0","0","13","6","Puzzle &amp; Dragons,Dragalia Lost"
"7","Sunday 14th July 2019 15:45","https://sullygnome.com/channel/kraygaterim/stream/34901861328","105","105","1","4","0","0","5","2","Puzzle &amp; Dragons,Dragalia Lost"
"8","Tuesday 9th July 2019 13:45","https://sullygnome.com/channel/kraygaterim/stream/34838137952","195","585","3","7","0","0","22","6","Puzzle &amp; Dragons,Dragalia Lost"
"9","Tuesday 9th July 2019 05:45","https://sullygnome.com/channel/kraygaterim/stream/34835441744","135","135","1","3","0","0","11","4","Puzzle &amp; Dragons,Dragalia Lost"
"10","Friday 5th July 2019 14:30","https://sullygnome.com/channel/kraygaterim/stream/34788676832","105","315","3","10","0","0","10","5","Puzzle &amp; Dragons,Dragalia Lost"
"11","Friday 5th July 2019 05:30","https://sullygnome.com/channel/kraygaterim/stream/34785498880","30","0","0","0","0","0","3","4","Puzzle &amp; Dragons"
"12","Monday 1st July 2019 14:00","https://sullygnome.com/channel/kraygaterim/stream/34739609280","180","180","1","4","0","0","15","4","Dragalia Lost,Puzzle &amp; Dragons"
