"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Overwatch","2295","10305","4","11","187","4.888888"
"2","Teamfight Tactics","495","2385","4","8","32","3.878787"
"3","World of Warcraft","315","1560","3","12","21","4"
"4","Music","255","1410","5","7","22","5.17647"
"5","Food & Drink","225","1995","5","14","50","13.333333"
"6","Just Chatting","150","1290","9","15","9","3.6"
"7","Dead by Daylight","120","405","3","7","12","6"
"8","League of Legends","75","405","5","6","6","4.8"
"9","Paladins","45","120","2","3","0","0"
"10","Getting Over It with Bennett Foddy","45","270","6","7","2","2.666666"
