"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Tom Clancy's Rainbow Six Siege","2385","21975","8","20","901","22.666666"
"2","World of Warcraft","1860","24150","11","280","1502","48.451612"
"3","ARK: Survival Evolved","1605","14325","7","16","560","20.934579"
"4","Bloodborne","495","4590","9","16","116","14.060606"
"5","PAYDAY 2","150","1110","7","13","66","26.4"
"6","Just Chatting","135","1395","10","15","78","34.666666"
"7","Crash Bandicoot N. Sane Trilogy","45","465","10","11","14","18.666666"
"8","Divinity: Original Sin II","45","225","5","7","21","28"
"9","Overwatch","30","375","12","13","10","20"
"10","Quantum Break","30","240","8","10","18","36"
