"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Path of Exile","2985","6795","2","7","303","6.090452"
"2","Dauntless","2535","6150","2","6","265","6.272189"
"3","Grim Dawn","1395","3345","2","11","229","9.849462"
"4","Pagan: Absent Gods","1035","3285","2","9","171","9.913043"
"5","FINAL FANTASY XIV ONLINE","225","435","1","2","20","5.333333"
"6","Shadows: Awakening","225","435","1","3","21","5.6"
"7","Destiny 2","225","480","1","5","34","9.066666"
"8","Warframe","195","285","1","2","6","1.846153"
"9","Tetris Effect","45","90","2","2","4","5.333333"
"10","Last Epoch","15","90","6","6","15","60"
"11","Tom Clancy's The Division 2","15","0","0","0","0","0"
"12","Gloomhaven","15","45","3","3","0","0"
