"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","10545","89235","8","27","1232","7.009957"
"2","Alice: Madness Returns","615","5850","9","13","50","4.878048"
"3","The Sims 4","540","6000","10","23","130","14.444444"
"4","American Truck Simulator","375","3750","8","15","49","7.84"
"5","Prison Architect","165","2280","13","22","40","14.545454"
"6","Star Wars Battlefront II","135","1170","8","11","161","71.555555"
"7","Battlefield V","135","1455","10","13","25","11.111111"
"8","Skate 3","120","630","5","7","11","5.5"
"9","Ghostbusters: The Video Game","90","1275","14","15","20","13.333333"
"10","Middle-earth: Shadow of War","75","645","5","12","24","19.2"
"11","Just Chatting","75","345","4","9","25","20"
"12","Descenders","60","390","6","10","13","13"
"13","NBA Live 19","60","345","5","7","0","0"
"14","Ori and the Blind Forest","60","360","6","8","21","21"
"15","Life is Feudal: Your Own","60","525","8","9","17","17"
"16","Star Wars: Shadows of the Empire","30","300","10","10","0","0"
"17","Contagion","30","195","6","7","9","18"
"18","Shadow Tactics: Blades of the Shogun","30","375","12","14","0","0"
"19","Mad Max","30","375","12","13","4","8"
"20","Outer Wilds","15","90","6","6","21","84"
