"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Counter-Strike","795","13515","17","32","1213","91.547169"
"2","Just Chatting","330","5130","13","31","461","83.818181"
"3","Talk Shows & Podcasts","195","4980","24","41","222","68.307692"
"4","Fortnite","180","2715","14","22","215","71.666666"
"5","PUBG: BATTLEGROUNDS","165","2025","12","18","154","56"
"6","Rocket League","135","2175","15","21","65","28.888888"
"7","Golf With Your Friends","90","1230","13","16","63","42"
"8","Minecraft","60","870","14","16","126","126"
"9","skribbl.io","45","615","13","15","25","33.333333"
"10","Celeste","30","360","12","14","24","48"
"11","ARK: Survival Evolved","15","60","4","4","0","0"
