"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Teamfight Tactics","705","2685","2","9","228","19.404255"
"2","League of Legends","330","2055","5","11","164","29.818181"
"3","Battlefield V","225","1470","7","14","86","22.933333"
"4","Sniper Elite 4","180","1815","10","15","80","26.666666"
"5","Human: Fall Flat","135","675","5","9","45","20"
"6","Call of Duty: Black Ops 4","120","840","6","10","39","19.5"
"7","Forza Horizon 4","120","735","6","8","49","24.5"
"8","Pummel Party","90","780","8","10","44","29.333333"
"9","Legion TD 2","45","540","12","13","37","49.333333"
"10","Warcraft III","45","165","3","4","8","10.666666"
"11","theHunter: Call of the Wild","30","240","8","8","5","10"
"12","Peggle","15","90","6","6","12","48"
"13","Skullgirls","15","60","4","4","5","20"
"14","Unlisted on Twitch","15","0","0","0","0","0"
