"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Bloodstained: Ritual of the Night","300","1380","3","7","20","4"
"2","Gloomhaven","270","825","2","6","37","8.222222"
"3","Super Mario Maker 2","270","3450","10","38","53","11.777777"
"4","Just Chatting","255","1635","5","12","29","6.823529"
"5","Retro","195","915","4","7","24","7.384615"
"6","They Are Billions","180","420","2","4","4","1.333333"
"7","Godhood","150","330","2","3","10","4"
"8","Games + Demos","135","255","1","3","3","1.333333"
"9","NHL 20","105","810","7","13","31","17.714285"
"10","Dota Underlords","105","150","1","2","7","4"
"11","Kerbal Space Program","105","510","4","7","33","18.857142"
"12","Rebel Galaxy","75","120","1","2","5","4"
"13","Awesomenauts","75","180","2","4","3","2.4"
"14","Devil Daggers","75","420","5","16","17","13.6"
"15","Muse Dash","75","60","0","2","1","0.8"
"16","Teamfight Tactics","45","45","1","1","3","4"
"17","Marvel Ultimate Alliance 3: The Black Order","45","45","1","3","18","24"
"18","Fire Emblem: Three Houses","45","150","3","4","0","0"
"19","Steambirds Alliance","45","90","2","2","0","0"
