"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","World of Warships","2115","64980","29","159","1857","52.680851"
"2","War Thunder","840","27405","31","64","904","64.571428"
"3","Counter-Strike: Global Offensive","600","8940","13","29","203","20.3"
"4","Grim Dawn","270","40380","149","185","6047","1343.777777"
"5","Just Chatting","240","9270","30","149","1082","270.5"
"6","Squad","180","32370","179","232","6018","2006"
"7","The Red Strings Club","165","11085","67","112","1306","474.90909"
"8","The Legend of Zelda: Breath of the Wild","165","2595","15","26","169","61.454545"
"9","Borderlands: The Pre-Sequel","165","8415","51","99","1707","620.727272"
"10","Renowned Explorers: International Society","135","11505","85","107","2608","1159.111111"
