"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Apex Legends","2700","13530","4","12","306","6.8"
"2","Borderlands: The Pre-Sequel","1110","3930","3","23","139","7.513513"
"3","The Sinking City","735","2460","3","9","70","5.714285"
"4","Killsquad","405","2535","6","9","78","11.555555"
"5","Marvel Ultimate Alliance 3: The Black Order","360","975","2","4","22","3.666666"
"6","Gloomhaven","270","1170","4","10","40","8.888888"
"7","Iratus: Lord of the Dead","255","1455","4","10","34","8"
"8","They Are Billions","225","960","4","6","13","3.466666"
"9","Super Smash Bros. Ultimate","225","465","1","4","23","6.133333"
"10","Super Mario Party","165","765","4","6","14","5.090909"
"11","Griftlands","150","990","6","10","30","12"
"12","World War Z","150","450","3","5","31","12.4"
"13","Borderlands 2","60","120","2","2","5","5"
"14","Xenoblade Chronicles 2","45","165","3","4","22","29.333333"
"15","Mario Kart 8","30","210","7","7","2","4"
