"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Forest","420","810","1","4","20","2.857142"
"2","Apex Legends","180","480","2","4","11","3.666666"
"3","Fortnite","90","240","2","5","10","6.666666"
"4","Dead by Daylight","75","120","1","3","7","5.6"
"5","Call of Duty: Black Ops 4","60","225","3","4","2","2"
