"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Star Wars Battlefront II","2130","8475","3","13","140","3.943661"
"2","Warframe","1935","7740","2","10","178","5.519379"
"3","Battlefield V","1680","4995","2","11","74","2.642857"
"4","Grand Theft Auto V","1395","5520","3","10","43","1.849462"
"5","Star Wars: The Old Republic","1095","2505","1","8","116","6.356164"
"6","Sea of Thieves","660","1860","2","8","46","4.181818"
"7","Assassin's Creed Odyssey","405","1320","3","6","12","1.777777"
"8","Marvel's Spider-Man","375","2685","7","18","24","3.84"
"9","The Elder Scrolls Online","315","630","2","9","19","3.619047"
"10","The Crew 2","210","270","1","3","8","2.285714"
"11","Brawlhalla","120","420","3","6","5","2.5"
"12","Stick Fight: The Game","45","180","4","5","0","0"
"13","For Honor","45","15","0","1","0","0"
"14","Who's Your Daddy","15","75","5","5","0","0"
"15","Unlisted on Twitch","15","15","1","1","0","0"
