"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Squad","540","6045","10","17","161","17.888888"
"2","Overwatch","405","4065","9","15","300","44.444444"
"3","Rocket League","405","5505","13","29","332","49.185185"
"4","Counter-Strike","180","2265","12","17","90","30"
"5","Unlisted on Twitch","180","5175","28","38","197","65.666666"
"6","Art","150","1440","9","11","55","22"
"7","Music","90","1050","11","14","20","13.333333"
"8","Super Mario Maker 2","60","495","8","10","27","27"
"9","OBEY","60","2385","39","42","116","116"
"10","Deceit","60","600","9","13","32","32"
"11","Krunker","60","915","15","18","29","29"
"12","Bean Battles","45","705","15","17","15","20"
"13","Just Chatting","45","1620","36","40","83","110.666666"
"14","UNO","45","1905","42","46","142","189.333333"
"15","HALF DEAD 2","45","870","19","23","42","56"
"16","Pacify","30","540","18","20","26","52"
"17","TETRIS 99","30","195","6","7","6","12"
"18","Town of Salem","15","480","32","32","18","72"
