"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Rocket League","2850","73440","25","44","1539","32.4"
"2","Tom Clancy's Rainbow Six Siege","1170","30435","25","36","411","21.076923"
"3","Counter-Strike: Global Offensive","660","15585","23","32","262","23.818181"
"4","ARK: Survival Evolved","660","15420","22","33","209","19"
"5","Teamfight Tactics","450","9285","20","29","136","18.133333"
"6","Dota Underlords","435","11550","27","43","249","34.344827"
"7","theHunter: Call of the Wild","420","11955","26","41","129","18.428571"
"8","South Park: The Fractured But Whole","375","9450","24","36","153","24.48"
"9","Just Chatting","300","5445","16","39","412","82.4"
"10","Overwatch","225","4320","19","27","68","18.133333"
"11","PUBG: BATTLEGROUNDS","135","2940","21","25","35","15.555555"
"12","Auto Chess","120","2520","21","26","45","22.5"
"13","Marbles on Stream","105","3990","33","48","56","32"
"14","Trials Fusion","90","1710","19","32","47","31.333333"
"15","Apex Legends","90","2085","23","28","36","24"
