"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Counter-Strike: Global Offensive","840","2445","2","9","263","18.785714"
"2","Fortnite","435","2295","4","10","102","14.068965"
"3","Battlefield V","255","960","4","9","70","16.470588"
"4","Apex Legends","210","450","2","4","46","13.142857"
"5","Just Chatting","180","495","2","7","53","17.666666"
"6","Spacelords","165","735","2","10","42","15.272727"
"7","Overwatch","90","675","7","9","52","34.666666"
"8","osu!","75","375","5","10","22","17.6"
"9","Unlisted on Twitch","45","225","4","6","30","40"
"10","Choice Chamber","45","90","2","3","21","28"
"11","Battlefield 1","45","135","3","3","33","44"
