"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","League of Legends","975","6300","5","11","183","11.261538"
"2","Minecraft","975","3780","3","10","106","6.523076"
"3","Yu-Gi-Oh! TRADING CARD GAME","885","4545","4","8","137","9.288135"
"4","Teamfight Tactics","465","3675","6","13","54","6.967741"
"5","Yu-Gi-Oh! Legacy of the Duelist","120","720","6","8","25","12.5"
"6","Art","90","510","5","7","11","7.333333"
"7","LOL","15","105","7","7","6","24"
