"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","My Summer Car","4860","4307460","864","1254","149493","1845.592592"
"2","Rust","4245","3474420","801","1120","134181","1896.551236"
"3","Just Chatting","1515","767745","452","1171","136334","5399.366336"
"4","Sea of Thieves","570","457980","777","1062","15836","1666.947368"
"5","PUBG: BATTLEGROUNDS","510","301230","589","782","14846","1746.588235"
"6","Travel & Outdoors","495","364845","650","997","18826","2281.939393"
"7","Portal 2","240","111930","466","537","4267","1066.75"
"8","Turmoil","195","172320","875","1077","9156","2817.230769"
"9","60 Seconds!","150","155640","1033","1254","6470","2588"
"10","Food & Drink","135","98310","726","850","7336","3260.444444"
"11","Blade & Sorcery","105","75015","714","760","2414","1379.428571"
"12","Balancelot","105","73110","689","756","3975","2271.428571"
"13","Pummel Party","105","67125","639","677","2453","1401.714285"
"14","Tabletop Simulator","90","50025","555","616","1880","1253.333333"
"15","This War of Mine","90","61650","685","724","2455","1636.666666"
"16","Dota 2","75","43845","584","613","1638","1310.4"
"17","Totally Reliable Delivery Service","75","43665","582","610","2078","1662.4"
"18","Games + Demos","75","43020","552","676","3261","2608.8"
"19","Workers & Resources: Soviet Republic","60","41640","694","731","3297","3297"
"20","Fortify","60","41175","686","759","2168","2168"
"21","Granny Simulator","45","27540","612","631","1516","2021.333333"
"22","She Sees Red","45","35250","783","866","1570","2093.333333"
"23","Fort Boyard","30","12660","422","469","759","1518"
"24","Spider-Man: Far From Home Virtual Reality","30","24480","816","832","1734","3468"
"25","Automachef","30","15315","510","538","2517","5034"
"26","The Cycle","30","16140","538","554","2381","4762"
"27","Climb","30","19635","654","697","2891","5782"
"28","Lost Region","30","16980","566","621","730","1460"
"29","World War 3","30","21135","704","735","3613","7226"
"30","Reign of Kings","30","23220","774","799","1327","2654"
"31","Outpost Zero","15","13005","867","867","2500","10000"
"32","AWAY: The Survival Series","15","5595","373","373","730","2920"
