"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Apex Legends","1980","140880","67","206","3636","110.181818"
"2","PUBG: BATTLEGROUNDS","1680","69435","46","135","2924","104.428571"
"3","Minecraft","810","101430","126","239","2039","151.037037"
"4","Company of Heroes 2","780","37155","45","117","1310","100.76923"
"5","Hunt: Showdown","450","18840","29","83","968","129.066666"
"6","Wolfenstein: Youngblood","165","7995","48","102","225","81.818181"
"7","Counter-Strike: Global Offensive","150","19185","124","154","236","94.4"
"8","Just Chatting","105","3255","27","52","144","82.285714"
"9","Unlisted on Twitch","90","2250","25","47","194","129.333333"
"10","League of Legends","45","2865","63","82","111","148"
"11","Travel & Outdoors","45","285","6","9","32","42.666666"
"12","Battlefield V","45","1545","34","45","100","133.333333"
"13","Worms Reloaded","30","1200","40","53","21","42"
"14","StarCraft II","15","585","39","39","37","148"
