"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Counter-Strike: Global Offensive","240","17445","72","102","4238","1059.5"
"2","Grand Theft Auto V","240","5250","21","34","273","68.25"
"3","World of Warcraft","210","1875","8","15","127","36.285714"
"4","Wolfenstein: Youngblood","210","3120","14","20","145","41.428571"
"5","Degrees of Separation","195","1695","8","17","131","40.307692"
"6","Sea of Solitude","180","1770","9","13","103","34.333333"
"7","Layers of Fear 2","90","855","9","13","49","32.666666"
"8","Gorogoa","45","285","6","7","33","44"
"9","Jackbox Party Packs","30","240","8","9","26","52"
"10","Dead by Daylight","15","210","14","14","18","72"
