"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Battle Brothers","3300","38820","10","32","1250","22.727272"
"2","Valkyria Chronicles","2715","33945","11","27","1201","26.541436"
"3","Valkyria Chronicles 4","1875","20970","10","24","573","18.336"
"4","Just Chatting","1875","19950","9","23","1104","35.328"
"5","BioShock","1245","26415","18","59","590","28.433734"
"6","Little Nightmares","750","11775","15","25","349","27.92"
"7","Forgotton Anne","675","8820","10","21","280","24.888888"
"8","Battle Chasers: Nightwar","645","7455","9","23","179","16.651162"
"9","WARTILE","495","5130","8","17","153","18.545454"
"10","NEOVERSE","330","3750","10","18","151","27.454545"
"11","Inside","300","4935","16","22","146","29.2"
"12","Monster Boy and the Cursed Kingdom","270","2520","9","16","78","17.333333"
"13","Void Bastards","240","3405","14","22","90","22.5"
"14","Escape from Tarkov","180","2985","15","28","216","72"
"15","Heroes of Might and Magic III: The Shadow of Death","90","585","6","9","16","10.666666"
"16","Unlisted on Twitch","75","750","9","13","55","44"
"17","State of Decay 2","75","750","10","15","47","37.6"
"18","Kingdom: New Lands","60","960","16","19","12","12"
"19","Worms W.M.D","15","105","7","7","10","40"
"20","Tales of Vesperia","15","240","16","16","12","48"
"21","Antenna","15","75","5","5","12","48"
"22","What Remains of Edith Finch","15","225","15","15","12","48"
