"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 21:01","https://sullygnome.com/channel/tablestory/stream/35115856304","179","83056","464","495","21","7","1029","343","Dungeons &amp; Dragons"
"2","Monday 29th July 2019 19:49","https://sullygnome.com/channel/tablestory/stream/35089154480","221","51935","235","272","9","2","989","263","Dungeons &amp; Dragons"
"3","Saturday 27th July 2019 20:30","https://sullygnome.com/channel/tablestory/stream/35065584448","135","28755","213","230","7","2","460","184","Dungeons &amp; Dragons"
"4","Friday 26th July 2019 22:49","https://sullygnome.com/channel/tablestory/stream/35055348288","206","98880","480","568","64","18","1837","524","Dungeons &amp; Dragons"
"5","Thursday 25th July 2019 19:53","https://sullygnome.com/channel/tablestory/stream/35041542352","187","30107","161","197","17","5","579","178","Dungeons &amp; Dragons"
"6","Wednesday 24th July 2019 21:00","https://sullygnome.com/channel/tablestory/stream/35030062592","180","76860","427","491","23","7","1056","324","Dungeons &amp; Dragons"
"7","Monday 22nd July 2019 19:48","https://sullygnome.com/channel/tablestory/stream/35004682784","237","72522","306","406","22","5","739","184","Dungeons &amp; Dragons"
"8","Saturday 20th July 2019 19:56","https://sullygnome.com/channel/tablestory/stream/34980607232","169","41574","246","284","5","1","647","215","Dungeons &amp; Dragons"
"9","Thursday 18th July 2019 19:53","https://sullygnome.com/channel/tablestory/stream/34954399376","202","26664","132","163","11","3","1006","287","Dungeons &amp; Dragons"
"10","Wednesday 17th July 2019 20:49","https://sullygnome.com/channel/tablestory/stream/34942571824","206","121128","588","783","40","11","2751","786","Dungeons &amp; Dragons"
"11","Tuesday 16th July 2019 20:56","https://sullygnome.com/channel/tablestory/stream/34930005744","199","37412","188","214","10","2","612","174","Dungeons &amp; Dragons"
"12","Monday 15th July 2019 19:51","https://sullygnome.com/channel/tablestory/stream/34916767136","189","43092","228","253","9","2","691","212","Dungeons &amp; Dragons"
"13","Saturday 13th July 2019 16:49","https://sullygnome.com/channel/tablestory/stream/34890155856","191","70670","370","398","8","2","902","277","Dungeons &amp; Dragons"
"14","Thursday 11th July 2019 20:00","https://sullygnome.com/channel/tablestory/stream/34867170272","180","21780","121","142","6","1","557","171","Dungeons &amp; Dragons"
"15","Wednesday 10th July 2019 21:05","https://sullygnome.com/channel/tablestory/stream/34855505872","205","93275","455","496","6","1","947","270","Dungeons &amp; Dragons"
"16","Tuesday 9th July 2019 21:02","https://sullygnome.com/channel/tablestory/stream/34842974656","208","58864","283","298","13","3","655","187","Dungeons &amp; Dragons"
"17","Monday 8th July 2019 19:49","https://sullygnome.com/channel/tablestory/stream/34829629616","191","53671","281","574","6","1","907","279","Dungeons &amp; Dragons"
"18","Wednesday 3rd July 2019 21:02","https://sullygnome.com/channel/tablestory/stream/34769152688","223","111723","501","541","24","6","1372","365","Dungeons &amp; Dragons"
"19","Tuesday 2nd July 2019 21:04","https://sullygnome.com/channel/tablestory/stream/34756585712","191","48514","254","273","11","3","768","236","Dungeons &amp; Dragons"
"20","Monday 1st July 2019 20:00","https://sullygnome.com/channel/tablestory/stream/34743391680","195","40560","208","228","7","2","595","170","Dungeons &amp; Dragons"
