"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","League of Legends","5340","30045","4","15","684","7.685393"
"2","Tom Clancy's Rainbow Six Siege","2625","14460","4","14","333","7.611428"
"3","Just Chatting","1470","10200","4","13","372","15.183673"
"4","Minecraft","990","6510","5","11","126","7.636363"
"5","Teamfight Tactics","735","4305","5","13","104","8.489795"
"6","PUBG: BATTLEGROUNDS","405","2880","6","11","80","11.851851"
"7","Just Shapes & Beats","210","975","4","7","8","2.285714"
"8","Dead by Daylight","210","1530","5","9","21","6"
"9","Moonlighter","180","885","4","6","24","8"
"10","Left 4 Dead 2","135","765","5","7","15","6.666666"
"11","Tricky Towers","60","600","10","11","11","11"
"12","A Dance of Fire and Ice","30","120","4","4","6","12"
"13","Music","15","75","5","5","0","0"
"14","Project Rhombus","15","150","10","10","1","4"
