"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Apex Legends","3540","5715","1","10","163","2.762711"
"2","Dead by Daylight","2295","4185","1","7","152","3.973856"
"3","Minion Masters","1785","4365","1","8","139","4.672268"
"4","League of Legends","1410","1470","0","4","25","1.063829"
"5","Hearthstone","1170","3090","2","28","90","4.615384"
"6","Just Chatting","1095","2445","1","9","105","5.753424"
"7","Pro Evolution Soccer 2017","735","855","1","4","40","3.265306"
"8","Music","270","210","0","2","12","2.666666"
"9","South Park: The Fractured But Whole","240","525","2","3","6","1.5"
"10","Left 4 Dead 2","75","135","1","4","5","4"
"11","Anime Land","60","180","3","3","0","0"
"12","Soccer","30","90","3","3","2","4"
