"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Teamfight Tactics","3585","7035","1","7","146","2.443514"
"2","Wolfenstein: Youngblood","945","3075","3","10","51","3.238095"
"3","League of Legends","540","1545","2","4","43","4.777777"
"4","Attack on Titan 2","495","1515","2","6","15","1.818181"
"5","Ori and the Blind Forest","405","1140","2","5","29","4.296296"
"6","Wolfenstein: The New Order","225","285","1","2","15","4"
"7","Just Chatting","195","270","1","3","22","6.76923"
"8","Child of Light","150","345","2","3","3","1.2"
"9","Food & Drink","105","135","1","3","8","4.571428"
"10","Cuphead","75","210","2","3","4","3.2"
"11","Overwatch","45","45","1","1","2","2.666666"
"12","Games + Demos","45","135","3","3","5","6.666666"
"13","Travel & Outdoors","15","0","0","0","0","0"
