"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 20:03","https://sullygnome.com/channel/callowcreation/stream/35115167232","567","3969","7","13","1","0","67","7","Science &amp; Technology,Destiny 2"
"2","Tuesday 30th July 2019 20:59","https://sullygnome.com/channel/callowcreation/stream/35102620832","496","2480","5","10","3","0","57","6","Science &amp; Technology,Destiny 2"
"3","Monday 29th July 2019 20:32","https://sullygnome.com/channel/callowcreation/stream/35089678112","478","2868","6","14","3","0","54","6","Science &amp; Technology,Destiny 2"
"4","Friday 26th July 2019 21:15","https://sullygnome.com/channel/callowcreation/stream/35054434848","450","1350","3","8","1","0","47","6","Science &amp; Technology,Destiny 2"
"5","Thursday 25th July 2019 20:51","https://sullygnome.com/channel/callowcreation/stream/35042188832","669","6021","9","22","3","0","136","12","Science &amp; Technology,Destiny 2"
"6","Wednesday 24th July 2019 21:41","https://sullygnome.com/channel/callowcreation/stream/35030606064","244","1708","7","11","2","0","57","13","Science &amp; Technology"
"7","Tuesday 23rd July 2019 20:40","https://sullygnome.com/channel/callowcreation/stream/35017723200","515","6180","12","47","11","1","137","15","Science &amp; Technology,Destiny 2"
"8","Monday 22nd July 2019 21:14","https://sullygnome.com/channel/callowcreation/stream/35005683920","541","5951","11","22","11","1","119","13","Science &amp; Technology"
"9","Friday 19th July 2019 20:58","https://sullygnome.com/channel/callowcreation/stream/34967628816","602","1204","2","7","2","0","70","6","Science &amp; Technology,Destiny 2"
"10","Friday 19th July 2019 02:17","https://sullygnome.com/channel/callowcreation/stream/34958556016","298","1192","4","8","0","0","38","7","Destiny 2,Science &amp; Technology"
"11","Thursday 18th July 2019 21:15","https://sullygnome.com/channel/callowcreation/stream/34955345056","285","1425","5","10","1","0","50","10","Science &amp; Technology"
"12","Wednesday 17th July 2019 20:32","https://sullygnome.com/channel/callowcreation/stream/34942372672","628","2512","4","10","4","0","114","10","Science &amp; Technology,Destiny 2"
"13","Tuesday 16th July 2019 21:03","https://sullygnome.com/channel/callowcreation/stream/34930087328","552","3312","6","15","6","0","132","14","Science &amp; Technology,Destiny 2"
"14","Tuesday 16th July 2019 03:00","https://sullygnome.com/channel/callowcreation/stream/34921265088","180","540","3","10","1","0","20","6","Destiny 2,Science &amp; Technology"
"15","Monday 15th July 2019 20:38","https://sullygnome.com/channel/callowcreation/stream/34917319824","322","1610","5","9","0","0","40","7","Science &amp; Technology"
"16","Thursday 11th July 2019 18:00","https://sullygnome.com/channel/callowcreation/stream/34865630672","585","1170","2","7","0","0","74","7","Science &amp; Technology,Destiny 2"
"17","Tuesday 9th July 2019 01:30","https://sullygnome.com/channel/callowcreation/stream/34833178528","180","360","2","10","1","0","31","9","Destiny 2,Science &amp; Technology"
"18","Monday 8th July 2019 20:49","https://sullygnome.com/channel/callowcreation/stream/34830332208","251","1255","5","10","0","0","53","12","Science &amp; Technology"
"19","Wednesday 3rd July 2019 20:26","https://sullygnome.com/channel/callowcreation/stream/34768751184","364","7644","21","38","18","3","137","24","Science &amp; Technology"
"20","Tuesday 2nd July 2019 20:41","https://sullygnome.com/channel/callowcreation/stream/34756330976","499","998","2","9","0","0","32","3","Science &amp; Technology,Destiny 2"
"21","Monday 1st July 2019 20:45","https://sullygnome.com/channel/callowcreation/stream/34743966624","405","2025","5","9","2","0","56","8","Science &amp; Technology"
