"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Red Faction","105","4380","42","57","112","64"
"2","Red Matter","105","2955","28","31","73","41.714285"
"3","Talk Shows & Podcasts","75","5970","79","93","89","71.2"
"4","Hover: Revolt of Gamers","60","1980","33","52","62","62"
"5","Transistor","60","3705","61","83","120","120"
"6","Spy Fox 2: ""Some Assembly Required""","60","1875","31","38","63","63"
"7","Super Comboman","60","1680","28","37","35","35"
"8","HITMAN 2","45","1140","25","35","43","57.333333"
"9","Spy Fox in ""Dry Cereal""","45","1350","30","32","9","12"
"10","Star Wars: The Empire Strikes Back","45","2295","51","54","104","138.666666"
"11","F-Zero GX","45","2415","53","56","96","128"
"12","Timespinner","45","2910","64","79","51","68"
"13","Super Mutant Alien Assault","30","1185","39","51","42","84"
"14","SkateBIRD","30","1230","41","43","75","150"
"15","Star Wars: Shadows of the Empire","30","1920","64","75","67","134"
"16","Double Switch","30","1200","40","51","39","78"
"17","Microsoft Minesweeper","30","1515","50","51","96","192"
"18","Corpse Killer","15","510","34","34","53","212"
"19","Disney's Extreme Skate Adventure","15","645","43","43","75","300"
"20","Mario Superstar Baseball","15","360","24","24","96","384"
